respondent_id,completion_time_seconds,q01_original_q02_rules_understanding,q02_original_q02_task_engagement,q03_original_q02_non_target_ball_attention,q04_original_q02_ball_size_attention,q05_original_q03_harder_condition,q06_original_q04_response_strategy,q07_original_q13_gravity_understanding,q08_original_q14_zero_gravity_understanding,q09_original_q15_judgment_basis,q10_original_q16_perceived_motion,q11_original_q17_post_confidence_adjustment,q12_original_q18_confidence_seriousness
P040,344,Neutral,Neutral,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P041,282,Somewhat does not match,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Almost every time
P042,417,Strongly does not match,Strongly does not match,Strongly does not match,Strongly does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P043,205,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P044,192,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P045,343,Strongly matches,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P046,651,Somewhat matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P047,252,Neutral,Neutral,Somewhat matches,Neutral,Gravity,Answer quickly but risk errors,Abstract motion unrelated to a physical scene,Abstract motion unrelated to a physical scene,Downward gravity or acceleration|Post-collision motion trend|Candidate landing positions and distance,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P048,171,Neutral,Neutral,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Sometimes
P049,3891,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Often
P050,230,Neutral,Somewhat matches,Neutral,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P051,758,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P052,466,Strongly matches,Strongly matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Almost every time,Often
P053,3993,Neutral,Strongly matches,Neutral,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Whether post-collision motion remained approximately constant-speed|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Rarely
P054,200,Strongly matches,Strongly matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P055,313,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P056,236,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Never,Often
P057,562,Strongly matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes|Patterns or experience from previous trials,I thought the balls in neither condition were affected by gravity,Never,Almost every time
P058,195,Strongly matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P059,199,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P060,266,Somewhat matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P061,355,Strongly matches,Strongly matches,Strongly does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P062,3540,Strongly matches,Somewhat matches,Somewhat does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P063,218,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P064,199,Neutral,Somewhat matches,Neutral,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P065,179,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P066,225,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P067,679,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P068,199,Strongly matches,Strongly matches,Somewhat does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P069,5066,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P070,4806,Strongly matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P071,208,Somewhat does not match,Neutral,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Sometimes
